30;547.25;573.10;588.91;583.32;558.10
40;541.99;567.26;582.56;576.74;551.86
50;537.09;561.90;576.85;570.91;546.34
100;518.23;541.82;556.08;550.32;527.06
150;505.76;528.90;543.14;537.93;515.56
